CLASS	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|	1	2	3	4	5	|
CLS1A	|	SJB001	SJB001	SJB0012	SJB006	SJB006	|	SJB005	SJB005	SJB004	SJB004	SJB003	|	SJB003	SJB009	SJB009	SJB0010	SJB0010	|	SJB008	SJB008	SJB0011	SJB0011	SJB007	|	SJB007	SJB002	SJB002	SJB001	SJB001	|	SJB004	SJB004	SJB009	SJB007	SJB002	|
CLS1B	|	SJB001	SJB001	SJB006	SJB006	SJB005	|	SJB005	SJB004	SJB004	SJB003	SJB003	|	SJB009	SJB0010	SJB0010	SJB008	SJB008	|	SJB0011	SJB0011	SJB007	SJB007	SJB002	|	SJB002	SJB0012	SJB004	SJB004	SJB009	|	SJB009	SJB007	SJB002	SJB001	SJB001	|
CLS1C	|	SJB001	SJB001	SJB006	SJB006	SJB005	|	SJB005	SJB004	SJB004	SJB0010	SJB0010	|	SJB0012	SJB001	SJB001	SJB002	SJB002	|	SJB007	SJB007	SJB0011	SJB0011	SJB008	|	SJB009	SJB009	SJB004	SJB004	SJB002	|	SJB007	SJB008	SJB009	SJB003	SJB003	|
CLS1D	|	SJB005	SJB005	SJB004	SJB004	SJB003	|	SJB003	SJB0010	SJB0010	SJB008	SJB008	|	SJB0011	SJB0011	SJB002	SJB001	SJB001	|	SJB0012	SJB006	SJB006	SJB004	SJB004	|	SJB009	SJB009	SJB007	SJB007	SJB009	|	SJB002	SJB001	SJB001	SJB002	SJB007	|
CLS1E	|	SJB002	SJB002	SJB001	SJB001	SJB0012	|	SJB006	SJB006	SJB005	SJB005	SJB004	|	SJB003	SJB003	SJB009	SJB009	SJB0010	|	SJB0010	SJB008	SJB008	SJB007	SJB007	|	SJB002	SJB001	SJB001	SJB004	SJB004	|	SJB009	SJB0011	SJB0011	SJB007	SJB004	|
CLS1F	|	SJB0012	SJB006	SJB006	SJB005	SJB005	|	SJB004	SJB004	SJB003	SJB003	SJB009	|	SJB009	SJB0010	SJB0010	SJB008	SJB008	|	SJB007	SJB007	SJB002	SJB002	SJB001	|	SJB001	SJB004	SJB004	SJB009	SJB0011	|	SJB0011	SJB007	SJB001	SJB001	SJB002	|
CLS1G	|	SJB002	SJB002	SJB0011	SJB0011	SJB007	|	SJB007	SJB0012	SJB002	SJB008	SJB008	|	SJB0010	SJB0010	SJB009	SJB009	SJB003	|	SJB004	SJB004	SJB006	SJB006	SJB001	|	SJB001	SJB007	SJB009	SJB003	SJB004	|	SJB004	SJB005	SJB005	SJB001	SJB001	|
CLS1H	|	SJB001	SJB001	SJB0012	SJB006	SJB006	|	SJB005	SJB005	SJB004	SJB004	SJB003	|	SJB003	SJB008	SJB008	SJB0011	SJB0011	|	SJB002	SJB002	SJB009	SJB009	SJB0010	|	SJB007	SJB007	SJB002	SJB001	SJB001	|	SJB004	SJB004	SJB009	SJB0010	SJB007	|
CLS1I	|	SJB002	SJB002	SJB001	SJB001	SJB006	|	SJB004	SJB004	SJB003	SJB003	SJB009	|	SJB009	SJB0010	SJB0010	SJB008	SJB008	|	SJB0011	SJB0011	SJB007	SJB007	SJB002	|	SJB001	SJB001	SJB0012	SJB006	SJB005	|	SJB009	SJB007	SJB004	SJB004	SJB005	|
CLS2A	|	SJB006	SJB006	SJB005	SJB005	SJB003	|	SJB008	SJB008	SJB0011	SJB0010	SJB0010	|	SJB001	SJB001	SJB002	SJB002	SJB007	|	SJB009	SJB009	SJB003	SJB004	SJB004	|	SJB0012	SJB001	SJB001	SJB002	SJB007	|	SJB0011	SJB009	SJB007	SJB004	SJB004	|
CLS2B	|	SJB0011	SJB0011	SJB002	SJB002	SJB0010	|	SJB008	SJB008	SJB007	SJB007	SJB005	|	SJB005	SJB003	SJB003	SJB007	SJB0012	|	SJB001	SJB001	SJB009	SJB009	SJB0010	|	SJB002	SJB004	SJB004	SJB006	SJB006	|	SJB001	SJB001	SJB009	SJB004	SJB004	|
